FishName,Region,StartDate,EndDate,ProtectStartDate,ProtectEndDate,ProtectLength,ActiveTemp_L,ActiveTemp_H
가자미,WN,,,,,,18,25
가자미,WS,,,,,,18,25
가자미,EN,,,,,,18,25
가자미,ES,01월 01일,12월 31일,,,,18,25
가자미,SW,,,,,,18,25
가자미,SE,,,,,,18,25
가자미,Jeju,,,,,,18,25
가자미,Ulleungdo,,,,,,18,25
갈전갱이,WN,,,,,,0,50
갈전갱이,WS,,,,,,0,50
갈전갱이,EN,,,,,,0,50
갈전갱이,ES,,,,,,0,50
갈전갱이,SW,,,,,,0,50
갈전갱이,SE,,,,,,0,50
갈전갱이,Jeju,01월 01일,01월 15일,,,,0,50
갈전갱이,Jeju,10월 15일,12월 31일,,,,0,50
갈전갱이,Ulleungdo,,,,,,0,50
갈치,WN,,,07월 01일,07월 31일,,7,25
갈치,WS,,,07월 01일,07월 31일,18,7,25
갈치,EN,,,07월 01일,07월 31일,18,7,25
갈치,ES,06월 01일,12월 15일,07월 01일,07월 31일,18,7,25
갈치,SW,08월 01일,12월 15일,07월 01일,07월 31일,18,7,25
갈치,SE,09월 01일,11월 30일,07월 01일,07월 31일,18,7,25
갈치,Jeju,06월 15일,11월 15일,07월 01일,07월 31일,18,7,25
갈치,Ulleungdo,,,07월 01일,07월 31일,18,7,25
감성돔,WN,,,,,25,8,30
감성돔,WS,05월 15일,10월 15일,,,25,8,30
감성돔,EN,09월 15일,11월 30일,,,25,8,30
감성돔,EN,04월 15일,05월 15일,,,25,8,30
감성돔,ES,09월 01일,11월 30일,,,25,8,30
감성돔,ES,03월 01일,04월 30일,,,25,8,30
감성돔,SW,04월 15일,05월 31일,,,25,8,30
감성돔,SW,01월 01일,03월 31일,,,25,8,30
감성돔,SW,09월 01일,12월 31일,,,25,8,30
감성돔,SE,09월 15일,12월 31일,,,25,8,30
감성돔,SE,01월 01일,04월 30일,,,25,8,30
감성돔,Jeju,01월 01일,03월 31일,,,,8,30
감성돔,Ulleungdo,,,,,,8,30
갑오징어,WN,,,,,,15,20
갑오징어,WS,09월 01일,10월 31일,,,,15,20
갑오징어,EN,,,,,,15,20
갑오징어,ES,,,,,,15,20
갑오징어,SW,,,,,,15,20
갑오징어,SE,,,,,,15,20
갑오징어,Jeju,,,,,,15,20
갑오징어,Ulleungdo,,,,,,15,20
강도다리,WN,,,,,,0,22
강도다리,WS,,,,,,0,22
강도다리,EN,03월 01일,05월 31일,,,,0,22
강도다리,ES,02월 15일,07월 15일,,,,0,22
강도다리,SW,,,,,,0,22
강도다리,SE,,,,,,0,22
강도다리,Jeju,,,,,,0,22
강도다리,Ulleungdo,,,,,,0,22
고등어,WN,,,04월 01일,06월 30일,21,13,25
고등어,WS,08월 15일,10월 31일,04월 01일,06월 30일,21,13,25
고등어,EN,09월 01일,10월 15일,04월 01일,06월 30일,21,13,25
고등어,ES,08월 01일,11월 30일,04월 01일,06월 30일,21,13,25
고등어,SW,08월 01일,10월 31일,04월 01일,06월 30일,21,13,25
고등어,SE,09월 01일,11월 30일,04월 01일,06월 30일,21,13,25
고등어,Jeju,07월 01일,10월 31일,04월 01일,06월 30일,21,13,25
고등어,Ulleungdo,,,04월 01일,06월 30일,21,13,25
광어,WN,05월 15일,10월 31일,,,,10,25
광어,WS,05월 01일,11월 15일,,,,10,25
광어,EN,,,,,,10,25
광어,ES,,,,,,10,25
광어,SW,,,,,,10,25
광어,SE,,,,,,10,25
광어,Jeju,,,,,,10,25
광어,Ulleungdo,,,,,,10,25
꼬치고기,WN,,,,,,0,50
꼬치고기,WS,,,,,,0,50
꼬치고기,EN,,,,,,0,50
꼬치고기,ES,,,,,,0,50
꼬치고기,SW,,,,,,0,50
꼬치고기,SE,,,,,,0,50
꼬치고기,Jeju,07월 01일,10월 31일,,,,0,50
꼬치고기,Ulleungdo,,,,,,0,50
넙치농어,WN,,,,,,15,25
넙치농어,WS,,,,,,15,25
넙치농어,EN,,,,,,15,25
넙치농어,ES,,,,,,15,25
넙치농어,SW,,,,,,15,25
넙치농어,SE,,,,,,15,25
넙치농어,Jeju,11월 01일,12월 21일,,,,15,25
넙치농어,Jeju,03월 15일,06월 30일,,,,15,25
넙치농어,Jeju,01월 01일,01월 15일,,,,15,25
넙치농어,Ulleungdo,,,,,,15,25
노랑볼락,WN,,,,,,0,50
노랑볼락,WS,,,,,,0,50
노랑볼락,EN,,,,,,0,50
노랑볼락,ES,02월 15일,10월 31일,,,,0,50
노랑볼락,SW,,,,,,0,50
노랑볼락,SE,,,,,,0,50
노랑볼락,Jeju,,,,,,0,50
노랑볼락,Ulleungdo,,,,,,0,50
노래미,WN,04월 15일,12월 15일,,,,10,22
노래미,WS,04월 15일,12월 15일,,,,10,22
노래미,EN,01월 01일,12월 31일,,,,10,22
노래미,ES,01월 01일,12월 31일,,,,10,22
노래미,SW,01월 01일,12월 31일,,,,10,22
노래미,SE,01월 01일,12월 31일,,,,10,22
노래미,Jeju,,,,,,10,22
노래미,Ulleungdo,,,,,,10,22
농어,WN,06월 15일,10월 31일,,,30,11,31
농어,WS,05월 15일,11월 15일,,,30,11,31
농어,EN,,,,,30,11,31
농어,ES,05월 01일,12월 31일,,,30,11,31
농어,ES,01월 01일,01월 31일,,,30,11,31
농어,SW,03월 15일,09월 30일,,,30,11,31
농어,SE,03월 01일,11월 30일,,,30,11,31
농어,Jeju,,,,,30,11,31
농어,Ulleungdo,,,,,30,11,31
눈볼대,WN,,,,,,0,50
눈볼대,WS,,,,,,0,50
눈볼대,EN,,,,,,0,50
눈볼대,ES,03월 01일,05월 31일,,,,0,50
눈볼대,SW,,,,,,0,50
눈볼대,SE,,,,,,0,50
눈볼대,Jeju,,,,,,0,50
눈볼대,Ulleungdo,,,,,,0,50
다금바리,WN,,,,,,18,23
다금바리,WS,,,,,,18,23
다금바리,EN,,,,,,18,23
다금바리,ES,,,,,,18,23
다금바리,SW,,,,,,18,23
다금바리,SE,,,,,,18,23
다금바리,Jeju,08월 01일,11월 30일,,,,18,23
다금바리,Ulleungdo,,,,,,18,23
대구,WN,,,01월 16일,02월 15일,35,5,15
대구,WS,05월 01일,10월 31일,01월 16일,02월 15일,35,5,15
대구,EN,11월 01일,12월 31일,01월 16일,02월 15일,35,5,15
대구,EN,01월 01일,03월 31일,01월 16일,02월 15일,35,5,15
대구,ES,09월 01일,12월 31일,01월 16일,02월 15일,35,5,15
대구,ES,01월 01일,03월 31일,01월 16일,02월 15일,35,5,15
대구,SW,,,01월 16일,02월 15일,35,5,15
대구,SE,,,01월 16일,02월 15일,35,5,15
대구,Jeju,,,01월 16일,02월 15일,35,5,15
대구,Ulleungdo,,,01월 16일,02월 15일,35,5,15
대구횟대,WN,,,,,,0,50
대구횟대,WS,,,,,,0,50
대구횟대,EN,03월 01일,09월 30일,,,,0,50
대구횟대,ES,,,,,,0,50
대구횟대,SW,,,,,,0,50
대구횟대,SE,,,,,,0,50
대구횟대,Jeju,,,,,,0,50
대구횟대,Ulleungdo,,,,,,0,50
도다리,WN,03월 01일,05월 15일,,,,0,50
도다리,WS,03월 01일,04월 30일,,,,0,50
도다리,EN,03월 01일,05월 31일,,,,0,50
도다리,ES,09월 01일,10월 31일,,,,0,50
도다리,ES,03월 15일,06월 30일,,,,0,50
도다리,SW,03월 15일,09월 30일,,,,0,50
도다리,SE,03월 01일,11월 30일,,,,0,50
도다리,Jeju,,,,,,0,50
